id_venda,data_venda,id_cliente,nome_cliente,cidade,estado,categoria,produto,quantidade,valor_unitario,desconto,valor_total,forma_pagamento,avaliacao_cliente,mes,ano,trimestre
1,2024-02-22,347,Cliente_0347,Porto Alegre,Rs,Eletrônicos,Smartphone,2,1754.83,0.0,3509.66,Pix,5.0,Fevereiro,2024,1
2,2024-09-15,309,Cliente_0309,São Paulo,Sp,Casa & Decoração,Luminária,2,140.63,0.0,281.26,Cartão De Crédito,2.0,Setembro,2024,3
3,2024-01-04,389,Cliente_0389,Olinda,Pe,Casa & Decoração,Tapete,3,312.87,0.2,750.89,Pix,5.0,Janeiro,2024,1
4,2024-02-17,195,Cliente_0195,Belo Horizonte,Mg,Alimentos,Azeite Importado,3,80.56,0.0,241.68,Boleto,3.0,Fevereiro,2024,1
5,2024-02-10,283,Cliente_0283,Olinda,Pe,Alimentos,Café Premium,1,41.9,0.05,39.8,Pix,4.0,Fevereiro,2024,1
6,2024-12-04,117,Cliente_0117,Vitória Da Conquista,Ba,Alimentos,Granola,1,26.07,0.0,26.07,Dinheiro,5.0,Dezembro,2024,4
7,2024-07-05,84,Cliente_0084,Juazeiro Do Norte,Ce,Vestuário,Camiseta,4,53.79,0.15,182.89,Cartão De Crédito,4.0,Julho,2024,3
8,2024-05-05,84,Cliente_0084,Blumenau,Sc,Alimentos,Café Premium,2,48.3,0.1,86.94,Cartão De Crédito,4.0,Maio,2024,2
9,2024-06-10,206,Cliente_0206,São Paulo,Sp,Vestuário,Tênis,1,305.05,0.2,244.04,Cartão De Crédito,4.0,Junho,2024,2
10,2024-05-15,72,Cliente_0072,Caruaru,Pe,Alimentos,Whey Protein,4,196.87,0.0,787.48,Pix,4.0,Maio,2024,2
11,2024-04-22,71,Cliente_0071,Caucaia,Ce,Alimentos,Granola,4,25.32,0.0,101.28,Cartão De Crédito,4.0,Abril,2024,2
12,2024-12-14,217,Cliente_0217,Juiz De Fora,Mg,Eletrônicos,Smartphone,2,1969.17,0.2,3150.67,Cartão De Crédito,4.0,Dezembro,2024,4
13,2024-02-28,350,Cliente_0350,Pelotas,Rs,Casa & Decoração,Almofada,1,73.59,0.15,62.55,Boleto,5.0,Fevereiro,2024,1
14,2024-01-02,489,Cliente_0489,Caxias Do Sul,Rs,Alimentos,Café Premium,2,42.41,0.05,80.58,Pix,,Janeiro,2024,1
15,2024-11-23,260,Cliente_0260,Petrópolis,Rj,Vestuário,Jaqueta,3,233.15,0.2,559.56,Cartão De Crédito,4.0,Novembro,2024,4
16,2024-09-07,10,Cliente_0010,Goiânia,Go,Vestuário,Jaqueta,5,233.23,0.0,1166.15,Cartão De Crédito,3.0,Setembro,2024,3
17,2024-02-13,375,Cliente_0375,São Paulo,Sp,Alimentos,Whey Protein,5,181.6,0.0,908.0,Cartão De Crédito,4.0,Fevereiro,2024,1
18,2024-09-27,447,Cliente_0447,Olinda,Pe,Vestuário,Calça Jeans,2,149.74,0.0,299.48,Dinheiro,4.0,Setembro,2024,3
19,2024-09-21,232,Cliente_0232,Caucaia,Ce,Vestuário,Tênis,3,294.93,0.05,840.55,Cartão De Crédito,3.0,Setembro,2024,3
20,2024-04-22,4,Cliente_0004,Blumenau,Sc,Alimentos,Café Premium,2,43.12,0.1,77.62,Pix,3.0,Abril,2024,2
21,2024-05-01,143,Cliente_0143,Campinas,Sp,Vestuário,Camiseta,1,60.32,0.1,54.29,Cartão De Crédito,5.0,Maio,2024,2
22,2024-08-30,414,Cliente_0414,Joinville,Sc,Vestuário,Jaqueta,2,231.05,0.2,369.68,Cartão De Crédito,4.0,Agosto,2024,3
23,2024-01-28,345,Cliente_0345,Juazeiro Do Norte,Ce,Casa & Decoração,Quadro Decorativo,4,181.14,0.2,579.65,Pix,5.0,Janeiro,2024,1
24,2024-04-07,275,Cliente_0275,Curitiba,Pr,Eletrônicos,Tablet,2,1167.93,0.0,2335.86,Cartão De Crédito,4.0,Abril,2024,2
